name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,2007,60000.0,70000.0,2,0,0,4
Maruti Wagon R LXI Minor,2007,350000.0,50000.0,2,0,0,4
Hyundai Verna 1.6 SX,2012,600000.0,100000.0,3,0,0,4
Datsun RediGO T Option,2017,250000.0,60000.0,2,0,0,4
Honda Amaze VX i-DTEC,2014,450000.0,141000.0,3,0,0,3
Maruti Alto LX BSIII,2007,140000.0,125000.0,2,0,0,4
Hyundai Xcent 1.2 Kappa S,2016,550000.0,25000.0,2,0,0,4
Tata Indigo Grand Petrol,2014,240000.0,60000.0,2,0,0,3
Hyundai Creta 1.6 VTVT S,2015,850000.0,25000.0,2,0,0,4
Maruti Celerio Green VXI,2017,365000.0,78000.0,1,0,0,4
Chevrolet Sail 1.2 Base,2015,350000.0,35000.0,2,0,0,4
Tata Indigo Grand Petrol,2014,250000.0,100000.0,2,0,0,4
Maruti 800 AC,2007,60000.0,70000.0,2,0,0,4
Maruti Wagon R LXI Minor,2007,135000.0,50000.0,2,0,0,4
Hyundai Verna 1.6 SX,2012,600000.0,100000.0,3,0,0,4
Datsun RediGO T Option,2017,250000.0,46000.0,2,0,0,4
Honda Amaze VX i-DTEC,2014,450000.0,141000.0,3,0,0,3
Maruti Alto LX BSIII,2007,140000.0,125000.0,2,0,0,4
Hyundai Xcent 1.2 Kappa S,2016,550000.0,25000.0,2,0,0,4
Tata Indigo Grand Petrol,2014,240000.0,60000.0,2,0,0,3
Hyundai Creta 1.6 VTVT S,2015,850000.0,25000.0,2,0,0,4
Maruti Celerio Green VXI,2017,365000.0,78000.0,1,0,0,4
Chevrolet Sail 1.2 Base,2015,260000.0,35000.0,2,0,0,4
Tata Indigo Grand Petrol,2014,250000.0,100000.0,2,0,0,4
Maruti Ciaz VXi Plus,2015,585000.0,24000.0,2,1,0,4
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000.0,33000.0,3,0,0,3
Jaguar XF 2.2 Litre Luxury,2014,1964999.0,28000.0,3,1,1,4
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000.0,59000.0,3,1,1,4
Audi Q5 2.0 TDI,2011,1190000.0,175900.0,3,1,1,4
Audi A6 2.0 TDI  Design Edition,2013,1735000.0,50000.0,3,1,1,4
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000.0,33800.0,3,1,1,3
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000.0,130400.0,3,1,1,3
